Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,25,18,00,00,0.22167
2020,01,25,19,00,00,-0.13833
2020,01,25,20,00,00,-0.4
2020,01,25,21,00,00,-0.62167
2020,01,25,22,00,00,-0.86167
2020,01,25,23,00,00,-0.96833
2020,01,26,00,00,00,-0.47667
2020,01,26,01,00,00,0.06333
2020,01,26,02,00,00,0.78167
2020,01,26,03,00,00,1.66333
2020,01,26,04,00,00,2.64833
2020,01,26,05,00,00,2.94833
2020,01,26,06,00,00,3.69667
2020,01,26,07,00,00,3.66333
2020,01,26,08,00,00,3.95833
2020,01,26,09,00,00,4.285
2020,01,26,10,00,00,4.65
2020,01,26,11,00,00,4.86833
2020,01,26,12,00,00,5.07167
2020,01,26,13,00,00,5.31167
2020,01,26,14,00,00,5.41833
2020,01,26,15,00,00,5.28833
2020,01,26,16,00,00,4.89833
2020,01,26,17,00,00,4.52167
2020,01,26,18,00,00,4.56
2020,01,26,19,00,00,4.13667
2020,01,26,20,00,00,3.42833
2020,01,26,21,00,00,2.21
2020,01,26,22,00,00,1.15
2020,01,26,23,00,00,-0.01333
2020,01,27,00,00,00,-0.64167
2020,01,27,01,00,00,-0.94
2020,01,27,02,00,00,-1.16167
2020,01,27,03,00,00,-1.25167
2020,01,27,04,00,00,-1.35667
2020,01,27,05,00,00,-1.03333
2020,01,27,06,00,00,-1.16
2020,01,27,07,00,00,-0.92
2020,01,27,08,00,00,-0.26667
2020,01,27,09,00,00,-0.11667
2020,01,27,10,00,00,0.05167
2020,01,27,11,00,00,0.11167
2020,01,27,12,00,00,0.31833
2020,01,27,13,00,00,0.55167
2020,01,27,14,00,00,0.75833
2020,01,27,15,00,00,0.89833
2020,01,27,16,00,00,0.98167
2020,01,27,17,00,00,1.24
2020,01,27,18,00,00,1.31
2020,01,27,19,00,00,1.45333
2020,01,27,20,00,00,1.31667
2020,01,27,21,00,00,1.10333
2020,01,27,22,00,00,1.295
2020,01,27,23,00,00,2.01
2020,01,28,00,00,00,3.475
2020,01,28,01,00,00,3.45
2020,01,28,02,00,00,3.36333
2020,01,28,03,00,00,3.35333
2020,01,28,04,00,00,3.40833
2020,01,28,05,00,00,3.33333
2020,01,28,06,00,00,2.945
2020,01,28,07,00,00,2.63
2020,01,28,08,00,00,3.17333
2020,01,28,09,00,00,3.25833
2020,01,28,10,00,00,3.125
2020,01,28,11,00,00,2.905
2020,01,28,12,00,00,2.70667
2020,01,28,13,00,00,2.455
2020,01,28,14,00,00,2.4
2020,01,28,15,00,00,2.40833
2020,01,28,16,00,00,2.67667
2020,01,28,17,00,00,2.41667
2020,01,28,18,00,00,2.795
2020,01,28,19,00,00,2.82167
2020,01,28,20,00,00,2.68167
2020,01,28,21,00,00,2.42833
2020,01,28,22,00,00,2.315
2020,01,28,23,00,00,2.11
2020,01,29,00,00,00,1.98667
2020,01,29,01,00,00,1.89333
2020,01,29,02,00,00,1.89
2020,01,29,03,00,00,1.58167
2020,01,29,04,00,00,1.08
2020,01,29,05,00,00,0.875
2020,01,29,06,00,00,0.95833
2020,01,29,07,00,00,1.05167
2020,01,29,08,00,00,0.95667
2020,01,29,09,00,00,0.45833
2020,01,29,10,00,00,0.51333
